PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PCN_CODE,PCN_NAME,ONS_SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ONS_ICB_CODE,ICB_CODE,ICB_NAME,ONS_COMM_REGION_CODE,COMM_REGION_CODE,COMM_REGION_NAME,SUPPLIER_NAME
GP_PRAC_PAT_LIST,01Mar2026,G84004,STOCK HILL SURGERY,TN16 3TJ,U77447,FIVE ELMS PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84005,DERRY DOWNS SURGERY,BR5 4DU,U50277,THE CRAYS COLLABORATIVE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84006,SUMMERCROFT SURGERY,BR6 7AR,U77447,FIVE ELMS PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84007,POVEREST MEDICAL CENTRE,BR5 2DQ,U50277,THE CRAYS COLLABORATIVE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84008,MANOR ROAD SURGERY,BR3 5LE,U36188,BECKENHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84009,FAMILY SURGERY,BR6 6BG,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84010,THE CHISLEHURST PARTNERSHIP,BR7 5AQ,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84011,EDEN PARK SURGERY,BR3 4DQ,U36188,BECKENHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84013,ST MARY CRAY PRACTICE,BR5 4AR,U50277,THE CRAYS COLLABORATIVE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84015,STATION ROAD SURGERY,BR4 0PU,U98580,HAYES WICK PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84016,LONDON LANE CLINIC,BR1 4HB,U43112,BROMLEY CONNECT PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84017,ADDINGTON ROAD SURGERY,BR4 9BG,U98580,HAYES WICK PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84018,CORNERWAYS SURGERY,BR3 5LG,U36188,BECKENHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84019,BROOMWOOD HEALTH CENTRE,BR5 2JP,U50277,THE CRAYS COLLABORATIVE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84020,CHELSFIELD SURGERY,BR6 6HD,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84023,SOUTHBOROUGH LANE SURGERY,BR2 9GT,U77447,FIVE ELMS PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84024,BROMLEY COMMON PRACTICE,BR2 9GT,U77447,FIVE ELMS PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84025,THE PARK PRACTICE,SE20 8QA,U76778,PENGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84027,ELM HOUSE SURGERY,BR3 3FD,U36188,BECKENHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84028,ST JAMES' PRACTICE,BR3 4DG,U36188,BECKENHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84029,ROBIN HOOD SURGERY,SE20 7AB,U76778,PENGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84030,FORGE CLOSE SURGERY,BR2 7LL,U98580,HAYES WICK PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84032,KNOLL MEDICAL PRACTICE,BR6 0FE,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84033,PICKHURST SURGERY,BR2 7JF,U98580,HAYES WICK PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84035,TUDOR WAY SURGERY,BR5 1LH,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84039,NORHEADS LANE SURGERY,TN16 3XS,U77447,FIVE ELMS PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G84040,BALLATER SURGERY,BR6 0DP,U87524,ORPINGTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
