MSOA21CD,practice_count,DEMENTIA_REGISTER_65_PLUS,DEMENTIA_REGISTER_0_64,total_dementia,total_registered,area_km2,density_65plus,density_0_64,density_total
E02000832,1,45.0,4.0,49.0,9398.0,0.9641195649665534,46.67470885891742,4.148863009681548,50.82357186859897
E02000834,3,69.0,3.0,72.0,28668.0,1.243831307098793,55.47376047395114,2.411902629302223,57.88566310325336
E02000836,1,15.0,1.0,16.0,6742.0,0.7889878458593498,19.011699709597302,1.2674466473064867,20.279146356903787
E02000837,1,44.0,0.0,44.0,9176.0,2.366894979326028,18.589755939458275,0.0,18.589755939458275
E02000838,2,70.0,3.0,73.0,14996.0,1.0540170486823355,66.4125880008388,2.84625377146452,69.25884177230333
E02000839,1,71.0,7.0,78.0,19402.0,2.681446024606806,26.478250670889818,2.6105317562849115,29.08878242717473
E02000842,1,43.0,3.0,46.0,9196.0,1.6944955094815852,25.376284421760104,1.7704384480297746,27.146722869789876
E02000848,1,133.0,5.0,138.0,11919.0,1.0770641798308866,123.4838206399945,4.642248896240395,128.1260695362349
E02000849,1,25.0,0.0,25.0,4752.0,1.3164530725417851,18.990422462785116,0.0,18.990422462785116
E02000851,2,258.0,6.0,264.0,25027.0,1.0553626609681332,244.46572684628106,5.68524946154142,250.1509763078225
E02000854,1,22.0,0.0,22.0,5524.0,1.773914932481116,12.40194757773944,0.0,12.40194757773944
E02000855,1,214.0,12.0,226.0,13888.0,1.8087033687274205,118.31680290979251,6.634587079053786,124.9513899888463
E02000856,2,90.0,3.0,93.0,16706.0,1.2348961839093138,72.88062038955111,2.429354012985037,75.30997440253616
E02000857,3,214.0,7.0,221.0,36306.0,1.0027183241550242,213.41985565122152,6.981023315694162,220.40087896691568
E02000859,2,363.0,8.0,371.0,31660.0,1.672603015834398,217.02699120084577,4.782963993407069,221.80995519425284
E02000923,1,89.0,1.0,90.0,14503.0,1.1238330530075995,79.1932571851472,0.8898118784848,80.08306906363201
E02000926,2,155.0,5.0,160.0,26471.0,0.6815285727686604,227.42993645933836,7.3364495632044635,234.76638602254283
E02000927,1,60.0,0.0,60.0,15145.0,0.47919024541218225,125.21122993309297,0.0,125.21122993309297
E02000929,2,21.0,1.0,22.0,10755.0,0.23862298296679105,88.00493455788603,4.190711169423144,92.19564572730918
E02000930,2,47.0,1.0,48.0,18643.0,0.8400707808469647,55.947666639011416,1.190375885936413,57.13804252494783
E02000932,1,141.0,2.0,143.0,24203.0,1.3174098112283612,107.02819942454407,1.5181304882914053,108.54632991283547
E02000933,2,126.0,3.0,129.0,35578.0,1.1852562756792375,106.3061234818545,2.5310981781393926,108.83722165999389
E02000934,2,78.0,1.0,79.0,17636.0,0.946836158788509,82.37961687035924,1.056148934235375,83.43576580459462
E02000935,1,11.0,2.0,13.0,2931.0,1.2563435591295407,8.755566835254335,1.5919212427735154,10.347488078027851
E02000937,1,27.0,0.0,27.0,6583.0,1.344103012670991,20.087746062220194,0.0,20.087746062220194
E02000938,1,53.0,1.0,54.0,6535.0,1.7695502142932373,29.951113888660306,0.565115356389817,30.516229245050123
E02000939,2,98.0,2.0,100.0,13349.0,0.7570691467172594,129.44656432630953,2.6417666189042763,132.0883309452138
E02000940,3,139.0,8.0,147.0,40056.0,0.7310796863512511,190.1297527410941,10.942719582221244,201.07247232331534
E02000944,1,26.0,1.0,27.0,11135.0,0.4983860717589114,52.168392082548415,2.0064766185595544,54.17486870110797
E02000945,2,154.0,2.0,156.0,11174.0,2.382834958468775,64.62889905684504,0.839336351387598,65.46823540823264
E02000947,2,78.0,3.0,81.0,18795.0,0.8438381735661262,92.43478482416349,3.555184031698596,95.98996885586209
