practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G85029,G85029,FALMOUTH ROAD GROUP PRACTICE,SE1 4JW,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.49672,-0.0932999
G85030,G85030,PARKSIDE MEDICAL CENTRE,SE5 7AQ,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47583,-0.09264
G85031,G85031,DMC CHADWICK ROAD,SE15 4PU,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4679734,-0.0741121
G85032,G85032,TORRIDON ROAD MEDICAL PRACTICE,SE6 1RB,U58020,SEVENFIELDS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.44011,-0.00211
G85034,G85034,NEXUS HEALTH GROUP,SE1 6JP,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.49562,-0.10196
G85038,G85038,THE LEWISHAM CARE PARTNERSHIP,SE13 7SX,U11059,LEWISHAM CARE PARTNERSHIP PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4673057,-0.0221182
G85039,G85039,PAXTON GREEN GROUP PRACTICE,SE21 8AU,U60524,CROXTED PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4298421,-0.0860863
G85040,G85040,QUEENS ROAD SURGERY,SE15 2UA,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4751124,-0.0640488
G85041,G85041,PALACE ROAD SURGERY,SW2 3DY,U99355,STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4436118,-0.1203601
G85042,G85042,ST GILES SURGERY,SE5 7RF,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4745623,-0.0841188
G85044,G85044,VALLEY ROAD SURGERY,SW16 2XT,U99355,STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.428592,-0.1194268
G85045,G85045,HETHERINGTON GROUP PRACTICE,SW4 7NU,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.460888,-0.1281709
G85046,G85046,LEE ROAD SURGERY,SE3 9RT,U21222,LEWISHAM ALLIANCE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.462637,0.0097512
G85047,G85047,KNIGHTS HILL SURGERY SUITE 1,SE27 0DF,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4324626,-0.1057206
