"ACH_DATE","ORG_TYPE","ORG_CODE","ONS_CODE","AREA_NAME","DEMENTIA_REGISTER_65_PLUS","DEMENTIA_ESTIMATE_65_PLUS","DIAG_RATE_65_PLUS","DIAG_RATE_65_PLUS_LL","DIAG_RATE_65_PLUS_UL","PAT_LIST_65_PLUS","Prevalence_65_PLUS_percent","Prevalence_65_PLUS_percent_LCI","Prevalence_65_PLUS_percent_UCI","ASS_Received_GP_Mem_Clinic","ASS_Received_GP","MemoryClinicPercent","MemoryClinicPercent_LCI","MemoryClinicPercent_UCI","DEM_REGISTER_WITH_ANTIPSYMEDS_ALL_AGES","DEMENTIA_REGISTER_ALL_AGES","AP_Percent","AP_Percent_LCI","AP_Percent_UCI","DIAG_Received_Care_Plan","CarePlansPercent","CarePlansPercent_LCI","CarePlansPercent_UCI"
2023-05-31,"ICB","QRV","E54000027","NHS NORTH WEST LONDON INTEGRATED CARE BOARD",11864,18755.6,63.3,56.7,68.7,308902,3.8,3.8,3.9,154,1756,8.8,7.5,10.2,979,12447,7.9,7.4,8.4,8956,72,71.2,72.7
2023-05-31,"ICB","QSL","E54000038","NHS SOMERSET INTEGRATED CARE BOARD",5234,9704.2,53.9,48.4,58.7,147732,3.5,3.4,3.6,21,184,11.4,7.6,16.8,446,5380,8.3,7.6,9.1,3464,64.4,63.1,65.7
2023-05-31,"ICB","QT1","E54000060","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD",9880,14196.7,69.6,62.5,75.6,223317,4.4,4.3,4.5,66,922,7.2,5.7,9,1005,10481,9.6,9,10.2,6982,66.6,65.7,67.5
2023-05-31,"ICB","QT6","E54000036","NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD",5387,9456.6,57,51.1,61.9,149216,3.6,3.5,3.7,59,432,13.7,10.7,17.2,457,5508,8.3,7.6,9.1,3339,60.6,59.3,61.9
2023-05-31,"ICB","QU9","E54000044","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",13513,22435,60.2,54.2,65.4,340058,4,3.9,4,110,767,14.3,12,17,1148,13856,8.3,7.8,8.8,9100,65.7,64.9,66.5
2023-05-31,"ICB","QUA","E54000062","NHS BLACK COUNTRY INTEGRATED CARE BOARD",8825,14059.4,62.8,56.5,68.2,216065,4.1,4,4.2,88,1426,6.2,5,7.5,1019,9194,11.1,10.5,11.7,4773,51.9,50.9,52.9
2023-05-31,"SUB_ICB_LOC","01D","E38000080","NHS GREATER MANCHESTER ICB - 01D",1658,2310.7,71.8,63.6,78.7,39430,4.2,4,4.4,16,233,6.9,4.3,10.9,129,1754,7.4,6.2,8.7,1257,71.7,69.5,73.7
2023-05-31,"SUB_ICB_LOC","01F","E38000068","NHS CHESHIRE AND MERSEYSIDE ICB - 01F",942,1400.7,67.3,59,74.4,24908,3.8,3.6,4,18,109,16.5,10.7,24.6,90,987,9.1,7.5,11.1,687,69.6,66.7,72.4
2023-05-31,"SUB_ICB_LOC","01G","E38000143","NHS GREATER MANCHESTER ICB - 01G",1748,2338.7,74.7,66.4,81.9,38714,4.5,4.3,4.7,35,153,22.9,16.9,30.1,131,1813,7.2,6.1,8.5,1274,70.3,68.1,72.3
2023-05-31,"ICB","QUE","E54000056","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD",6011,10850.7,55.4,49.7,60.2,168411,3.6,3.5,3.7,45,555,8.1,6.1,10.7,598,6267,9.5,8.8,10.3,4203,67.1,65.9,68.2
